📊 [1/27] 172.64.52.127（延迟 19ms，带宽 136.50Mbps，评分 100.0）
📊 [2/27] 104.26.5.134（延迟 51ms，带宽 800.78Mbps，评分 95.0）
📊 [3/27] 8.35.211.94（延迟 51ms，带宽 1485.73Mbps，评分 95.0）
📊 [4/27] 104.16.246.71（延迟 51ms，带宽 3211.16Mbps，评分 95.0）
📊 [5/27] 8.35.211.37（延迟 52ms，带宽 3629.24Mbps，评分 95.0）
📊 [6/27] 104.16.159.255（延迟 51ms，带宽 3867.43Mbps，评分 95.0）
📊 [7/27] 104.17.28.40（延迟 51ms，带宽 3320.97Mbps，评分 95.0）
📊 [8/27] 104.16.65.1（延迟 52ms，带宽 3866.54Mbps，评分 95.0）
📊 [9/27] 104.16.147.101（延迟 52ms，带宽 3778.92Mbps，评分 95.0）
📊 [10/27] 104.17.29.158（延迟 52ms，带宽 3275.98Mbps，评分 95.0）
📊 [11/27] 104.17.51.141（延迟 51ms，带宽 2548.47Mbps，评分 95.0）
📊 [12/27] 104.17.69.244（延迟 51ms，带宽 2836.51Mbps，评分 95.0）
📊 [13/27] 104.17.99.128（延迟 51ms，带宽 2890.60Mbps，评分 95.0）
📊 [14/27] 104.17.120.155（延迟 51ms，带宽 3208.67Mbps，评分 95.0）
📊 [15/27] 104.17.114.74（延迟 51ms，带宽 2857.78Mbps，评分 95.0）
📊 [16/27] 104.17.223.192（延迟 51ms，带宽 2925.45Mbps，评分 95.0）
📊 [17/27] 104.17.162.49（延迟 51ms，带宽 2532.00Mbps，评分 95.0）
📊 [18/27] 104.17.139.37（延迟 51ms，带宽 2632.42Mbps，评分 95.0）
📊 [19/27] 104.17.154.25（延迟 52ms，带宽 2694.59Mbps，评分 95.0）
📊 [20/27] 104.17.142.212（延迟 52ms，带宽 2452.30Mbps，评分 95.0）
📊 [21/27] 104.18.46.47（延迟 51ms，带宽 2660.28Mbps，评分 95.0）
📊 [22/27] 104.18.25.99（延迟 51ms，带宽 2857.34Mbps，评分 95.0）
📊 [23/27] 104.18.166.129（延迟 51ms，带宽 2656.79Mbps，评分 95.0）
📊 [24/27] 104.19.62.43（延迟 51ms，带宽 2529.21Mbps，评分 95.0）
📊 [25/27] 104.18.89.52（延迟 51ms，带宽 2545.13Mbps，评分 95.0）
📊 [26/27] 104.19.71.44（延迟 51ms，带宽 2536.67Mbps，评分 95.0）
📊 [27/27] 104.18.223.253（延迟 52ms，带宽 2777.77Mbps，评分 95.0）
